Gene,TNK,B,MonoMacro,Mast,Endothelial,Malignant,Stroma,DC,Epithelial
SCGB3A2,0.386552235107687,0.14005544840568,0.453866068020145,0.249060389337159,0.316270127522549,19.8910550230871,0.0981726469940493,0.290976881068496,192.923077376272
SPRY1,0.375804931262623,0.106639713433467,0.153181970429789,0.130901362718589,10.3702436992533,0.20979434888468,2.37230505612169,0.0753254648090216,0.443112174165141
AIF1,0.366520945792202,0.251278434432248,21.1705361483363,0.635786523024556,0.21414298348452,0.0900453481934432,0.220352213231553,16.0836757248407,0.295525569273332
MS4A6A,0.327985398422532,0.0802770130640505,5.07337995400028,0.132346305959383,0.141590961398725,0.0469010887245572,0.0954237157969731,9.94917496442972,0.0765171884596194
CD9,0.314860594757906,0.130126375601925,5.95270735716525,17.5935660902407,6.55360776017103,5.89255918409983,2.81724576354518,2.46871098179518,5.28026368489443
FCGRT,0.296794402008208,0.436150123833922,7.15220235651044,0.650230583407937,4.10097035886935,1.55419103880573,2.06254991818075,3.91822891198183,1.73948731062316
IGHG4,0.294290296447415,3.59588713344014,0.428364781900965,1.28728229338475,0.567871526449355,0.284942489173084,2.02474000964625,0.513286667326841,0.919724148179212
SFTPB,0.293541029813261,0.161102806910778,0.370521970985727,0.370251711253436,0.446285705926977,70.7386379806278,0.499858134727647,0.296801798474084,103.664305332541
FBP1,0.289957728159569,0.128062399073714,10.0135631605441,1.0147131193821,0.0841090609954076,0.744301014893511,0.159490294567251,2.96398500795494,1.00067164294558
HLA-DMB,0.280493759189959,3.14120736154258,4.30001845589423,0.0493095249413876,0.836811400922468,0.662113595653425,0.058223789238262,8.41962236392264,0.851619233004768
IFI27,0.278804896193872,0.242235183632934,7.22814267933182,0.222976789989779,38.2287184514096,19.7711515285953,3.76133346844417,1.04231230307304,15.2678981763044
SERPINA1,0.275980217132139,0.156195882907064,11.2153054079247,0.28318334213904,0.301136756395881,4.83577196993364,0.229404680539736,3.48565826459142,7.64048242596149
ID1,0.262886831097334,0.101296087035348,0.18038853470622,0.221594084004567,8.67712607127313,2.33793540487659,2.53014534613722,0.150713086569803,1.94107696024194
CLU,0.260664343182828,0.081996308747708,0.0718636376718459,15.7180258150816,9.12550424580248,6.82160012340164,12.6133183448904,0.0494723876803939,5.18814179344062
CD79B,0.260437954065987,2.55672596797961,0.162634911605518,0.225774798165647,0.440092534036755,0.00899999794303625,0.0100813042547386,0.0264775555487383,0.0
CCL18,0.256699620585858,0.144942680314704,9.37409761456254,0.138958914827429,0.200394381020041,0.0891813562639659,0.167247132574503,0.15899134109173,0.216596263273055
SMIM14,0.254853364663341,5.9373712907667,0.702403077757242,0.456555533293111,0.661514248750685,2.47657949493717,1.24019913371615,0.756657785519282,2.01643778181376
SLPI,0.253246110720612,0.363064876860176,0.274061112636814,0.223007476773854,1.07644095699157,20.7016908828765,1.21482245893263,0.22479506215394,48.078863165818
JCHAIN,0.252805536505728,33.1673086121205,0.204925799648662,0.312503222931091,0.480682164810917,0.259906961539559,0.701905478514104,3.09663841171369,0.490631429191979
SPINT2,0.249685755985119,0.838928428410664,1.2254427317549,2.37993430878707,0.0526311971225777,6.13697631786056,0.534223811619381,2.92043514391582,7.37484516886839
S100B,0.244292982091686,0.0449840724502208,0.586070103185176,0.18125640500714,0.0323415024520264,0.0203745803522326,0.11733119457496,10.7875980351716,0.154796002397109
POU2F2,0.24350932055662,2.23549234512667,0.544600050046816,0.0961190310603223,0.0188299448847513,0.0532295749804585,0.0061322729476436,0.463944380599901,0.0925066049809548
NPDC1,0.241915990575762,0.031335754060728,0.0406203512232321,0.0115339189488448,6.96289731615357,0.964330601790158,0.63940211498533,0.0641034051215258,0.353598460656405
S100A8,0.238060765507989,0.210318802670649,26.211815819925,0.423946621786506,0.251875660236433,1.57829008490297,0.162145211087055,2.80595949851512,0.197073694027231
CTSL,0.235600508161551,0.120773132905586,5.36507606424426,0.383341472377737,1.28631987501705,1.03346153701289,1.75711671534209,0.715401438061303,0.5663024494094
TDRD3,0.234228120698142,0.154352726132827,0.18488378175736,2.47103959045248,0.193881204905071,0.0955890664570512,0.239936654421245,0.118510005191932,0.1696236831422
IRF8,0.23126784905482,5.50562940997122,1.1163765102407,0.0,0.0891683173750185,0.0142877063785216,0.112130214493983,2.20712456332379,0.0291233312592792
PECAM1,0.228008111899691,0.121924221726148,1.5172848542902,0.0,8.51086744715416,0.073564360260829,0.0104486630153454,0.550620277756394,0.0674078834835547
PGC,0.226592761706486,0.306740340837073,0.605170797766507,0.0976855420733891,1.47583329932274,194.85981710747,0.470147787489711,0.264000309852307,53.4988521546957
SPP1,0.218503554701886,0.371136796968067,30.4653008176609,0.554663795313615,1.40577991057412,1.06992875408247,0.665679236018965,10.0188562766986,1.41935533528537
IGHG3,0.217384023396819,7.65312343712179,0.0973522794235682,0.0905450254208067,0.229605209889172,0.108671485512119,0.223673362449846,0.130192461094278,0.138446124970453
FN1,0.2116723895687,0.228962928772542,7.2129175110266,0.299889076133011,3.72418511042984,0.548902116493606,36.7514124998697,0.918326831376035,0.602989625209988
ACTA2,0.208162396294282,0.0550636953988952,0.076828376985007,0.0658873653608681,0.326839197820712,0.0675325550620693,22.4507463971622,0.0897697459697563,0.127382799835428
CD68,0.204691693389843,0.371020522056058,11.7862823133726,1.36210910213907,0.0699875027234283,0.392090130046065,0.529560465453944,3.74048748701299,0.244940627324555
LGALS3BP,0.195688660925618,0.105707346054365,2.22969293236008,0.0991287811145582,0.341969849071218,7.79670031680509,5.13074625556487,0.607009935986571,7.04525518540131
C1QC,0.194302047829899,0.211024966596246,16.5466841206261,0.29385872454437,0.340699934936727,0.0703860706178539,0.143034275658164,7.77309831588826,0.199462290422525
ACSL4,0.18284495854842,0.115016053980509,0.48791055955724,2.71771475797283,0.181213610495417,0.299831917719249,0.212468300113445,0.431571711060633,0.165223259188305
MARCO,0.18255317139361,0.0683309602668906,9.04955447982073,0.123458897892701,0.125854058541006,0.0130820445772539,0.0819980037416884,0.372369265249773,0.176099697725279
CFD,0.179571609974482,0.107514683383621,7.55579152299953,0.273961555783453,0.0140704366056479,0.202386191649237,6.04152235362685,0.430932814811732,0.406316709420599
PDLIM1,0.167009120248479,1.41437958913772,1.79598302342477,0.0572154870387164,11.4585079607353,1.13620388313365,2.03572133898119,0.259317494838498,1.74568503864597
WFDC2,0.163587163249775,0.18263914574859,0.221638287959053,0.238961144436994,0.31737612528956,32.7247531645928,0.323287370984036,0.11567174205691,53.5502107335794
C15ORF48,0.160541254823569,0.150966763441167,4.17397248377545,0.111370099996397,0.0122495878013705,1.51588126927072,0.151752314100268,11.7878308554761,0.820489117659416
SFTPA2,0.160223193665083,0.0953604864918851,0.128328643246148,0.130305721199195,0.0110914791929396,2.69844969042511,0.0398495717161796,0.104924781565152,33.2091496619745
MZB1,0.156024351746543,2.84891414540428,0.016414938213609,0.0618525039848212,0.014771397846921,0.0458591719454189,0.107434346748855,0.591432325029231,0.0749185871916221
KRT18,0.155380480153765,0.250027655606076,0.166999796284006,0.100309661647305,1.07332545136371,17.3138061358864,0.93588032957485,0.163168041221556,9.20059451514725
CPM,0.154691237808465,0.0550996161409099,1.36547771528895,6.60026585860795,0.430327997424218,2.16490152125461,0.381418724228885,1.10391714788431,2.72198961701928
FAM26F,0.154652256449568,0.835987996575772,2.77147495217278,0.0912503178285093,0.191011872269356,0.0142013676205155,0.0766223373296418,4.20851966077956,0.0425726076015577
COL6A2,0.15290595352711,0.0681444522530804,0.0356083389781904,0.00875816260755024,1.36746572916331,1.12840330865791,19.4728098570088,0.031044352557739,0.360327790831567
IGFBP4,0.15245190497133,0.161214797593278,0.136698076483113,0.0230859256424381,9.29547007329919,0.973435645742229,8.09309311974839,0.0966636505078761,1.73757166704965
IGFBP2,0.149555162384365,0.072483521561094,1.75009708278045,0.0938037500515402,2.47572008790921,10.5400899582175,4.44485926593811,0.0492893428931079,6.17131262779706
ALDH2,0.149297251889115,0.218810544402049,7.28385181886936,0.260081930259272,1.52611554954119,2.39550900024992,0.777145656477686,4.27208990497812,2.97669743269203
CXCL2,0.13870184515699,0.119440664735024,6.15969883638014,0.30852181583111,12.3483356396047,10.050798470906,1.77381525170078,1.3078219844069,5.94035154742777
IGHA2,0.138321139009877,22.1783830041536,0.124396223318965,0.297053493852206,0.225781982172276,0.108764236060168,0.315084084513392,0.148695737416727,0.367695864430948
SFTPA1,0.134374650231072,0.0538239527874914,0.100613524407217,0.138344175128898,0.0611030243312265,1.92116927786488,0.0237359062210731,0.0874564775794201,23.0136900377779
TPM1,0.121308652221688,0.0873872018079588,0.315047576323559,0.964099963031396,1.77506010694567,1.28969569298874,12.9529153032139,0.34630237519017,1.48500261675363
KRT19,0.117331423352396,0.197204475282447,0.104717805916692,1.25060631802516,0.101100638129298,10.1344635375703,0.446917614968159,0.09854639952073,5.65447425127155
HMGB3,0.113824304736859,0.156185229759974,0.311460627992468,0.215545490288911,0.464108207395024,5.71951904015755,0.138972758564297,0.260188744898842,2.64709453345585
COL1A1,0.110853944042945,0.244374656623818,0.0812683002358852,0.18809354872858,0.124397238458923,1.17865143018253,105.696512935964,0.107468411434306,1.20007010588771
VSIG4,0.108982128728614,0.0637825645105301,7.56571918105505,0.0950286162171184,0.150831040415307,0.0181630602360998,0.0331517726185624,2.29748493205593,0.0936777172629106
